OBJECTID,Sample_Date,Lat_deg_,Long_deg_,Pieces_KM2,Normalized
609,2009-06-27,19.73,-146.63,0,0
610,2009-11-10,19.73,-146.63,0,0
611,2010-10-26,19.73,-146.63,0,0
612,2011-03-26,19.73,-146.63,0,0
613,2011-07-07,19.73,-146.63,0,0
614,2011-10-28,19.73,-146.63,0,0
615,2012-02-24,19.73,-146.63,0,0
616,2003-11-20,20.15,-147.77,0,0
617,2004-04-13,20.15,-147.77,0,0
618,2004-11-03,20.15,-147.77,0,0
619,2005-03-03,20.15,-147.77,0,0
620,2005-07-20,20.15,-147.77,0,0
621,2005-12-20,20.15,-147.77,0,0
622,2006-08-20,20.15,-147.77,0,0
623,2007-03-07,20.15,-147.77,0,0
624,2007-11-08,20.15,-147.77,0,0
625,2008-05-27,20.15,-147.77,0,0
626,2008-10-31,20.15,-147.77,0,0
627,2009-03-02,20.15,-147.77,0,0
628,2009-06-28,20.15,-147.77,0,0
629,2009-11-11,20.15,-147.77,0,0
630,2010-10-27,20.15,-147.77,0,0
631,2011-03-27,20.15,-147.77,0,0
632,2011-07-08,20.15,-147.77,0,0
633,2011-10-29,20.15,-147.77,0,0
634,2012-02-26,20.15,-147.77,0,0
635,2003-12-02,20.27,-156.47,0,0
636,2004-04-20,20.27,-156.47,0,0
637,2004-11-17,20.27,-156.47,0,0
638,2005-03-05,20.27,-156.47,0,0
639,2005-08-20,20.27,-156.47,0,0
640,2005-12-24,20.27,-156.47,0,0
641,2006-10-17,20.27,-156.47,0,0
642,2007-03-12,20.27,-156.47,0,0
643,2007-11-28,20.27,-156.47,0,0
644,2008-05-30,20.27,-156.47,0,0
645,2008-11-03,20.27,-156.47,0,0
646,2009-03-06,20.27,-156.47,0,0
647,2009-07-01,20.27,-156.47,0,0
648,2009-12-12,20.27,-156.47,0,0
649,2010-10-31,20.27,-156.47,0,0
650,2011-03-30,20.27,-156.47,0,0
651,2011-07-11,20.27,-156.47,0,0
652,2011-11-02,20.27,-156.47,0,0
653,2012-03-06,20.27,-156.47,0,0
654,2004-04-14,20.35,-154.67,0,0
655,2004-11-04,20.35,-154.67,0,0
656,2005-03-03,20.35,-154.67,0,0
657,2005-07-20,20.35,-154.67,0,0
658,2005-12-21,20.35,-154.67,0,0
659,2006-08-21,20.35,-154.67,0,0
660,2007-03-09,20.35,-154.67,0,0
661,2007-11-26,20.35,-154.67,0,0
662,2008-05-28,20.35,-154.67,0,0
663,2008-11-01,20.35,-154.67,0,0
664,2009-03-03,20.35,-154.67,0,0
665,2009-06-29,20.35,-154.67,0,0
666,2009-12-02,20.35,-154.67,0,0
667,2010-10-27,20.35,-154.67,0,0
668,2011-03-28,20.35,-154.67,0,0
669,2011-07-09,20.35,-154.67,0,0
670,2011-10-30,20.35,-154.67,0,0
671,2012-02-28,20.35,-154.67,0,0
672,2012-07-04,20.35,-154.67,0,0
